jeudi 12 décembre 2024	17:05:14	Sampling Period : 50  ms		Experiment

t	Alpha1L		Alpha2L		Alpha1R		Alpha2R		T_Alpha1L	T_Alpha2L	T_Alpha1R	T_Alpha2R
188	845,000000E+0	1,421000E+3	0,000000E+0	0,000000E+0
189	845,000000E+0	1,422000E+3	0,000000E+0	0,000000E+0
190	844,000000E+0	1,423000E+3	0,000000E+0	0,000000E+0
191	844,000000E+0	1,424000E+3	0,000000E+0	0,000000E+0
192	843,000000E+0	1,425000E+3	0,000000E+0	0,000000E+0
193	842,000000E+0	1,426000E+3	0,000000E+0	0,000000E+0
194	842,000000E+0	1,427000E+3	0,000000E+0	0,000000E+0
195	842,000000E+0	1,428000E+3	0,000000E+0	0,000000E+0
196	840,000000E+0	1,429000E+3	0,000000E+0	0,000000E+0
197	840,000000E+0	1,430000E+3	0,000000E+0	0,000000E+0
198	840,000000E+0	1,431000E+3	0,000000E+0	0,000000E+0
199	840,000000E+0	1,432000E+3	0,000000E+0	0,000000E+0
200	839,000000E+0	1,433000E+3	0,000000E+0	0,000000E+0
201	839,000000E+0	1,435000E+3	0,000000E+0	0,000000E+0
202	838,000000E+0	1,436000E+3	0,000000E+0	0,000000E+0
203	838,000000E+0	1,437000E+3	0,000000E+0	0,000000E+0
204	837,000000E+0	1,437000E+3	0,000000E+0	0,000000E+0
205	837,000000E+0	1,438000E+3	0,000000E+0	0,000000E+0
206	837,000000E+0	1,439000E+3	0,000000E+0	0,000000E+0
207	836,000000E+0	1,440000E+3	0,000000E+0	0,000000E+0
208	836,000000E+0	1,441000E+3	0,000000E+0	0,000000E+0
209	836,000000E+0	1,441000E+3	0,000000E+0	0,000000E+0
210	835,000000E+0	1,443000E+3	0,000000E+0	0,000000E+0
211	835,000000E+0	1,443000E+3	0,000000E+0	0,000000E+0
212	835,000000E+0	1,444000E+3	0,000000E+0	0,000000E+0
213	835,000000E+0	1,445000E+3	0,000000E+0	0,000000E+0
214	834,000000E+0	1,445000E+3	0,000000E+0	0,000000E+0
215	834,000000E+0	1,446000E+3	0,000000E+0	0,000000E+0
216	834,000000E+0	1,447000E+3	0,000000E+0	0,000000E+0
217	833,000000E+0	1,447000E+3	0,000000E+0	0,000000E+0
218	833,000000E+0	1,448000E+3	0,000000E+0	0,000000E+0
219	833,000000E+0	1,449000E+3	0,000000E+0	0,000000E+0
220	832,000000E+0	1,449000E+3	0,000000E+0	0,000000E+0
221	832,000000E+0	1,450000E+3	0,000000E+0	0,000000E+0
222	832,000000E+0	1,450000E+3	0,000000E+0	0,000000E+0
223	831,000000E+0	1,450000E+3	0,000000E+0	0,000000E+0
224	831,000000E+0	1,451000E+3	0,000000E+0	0,000000E+0
225	831,000000E+0	1,451000E+3	0,000000E+0	0,000000E+0
226	831,000000E+0	1,452000E+3	0,000000E+0	0,000000E+0
227	830,000000E+0	1,453000E+3	0,000000E+0	0,000000E+0
228	830,000000E+0	1,453000E+3	0,000000E+0	0,000000E+0
229	830,000000E+0	1,454000E+3	0,000000E+0	0,000000E+0
230	830,000000E+0	1,454000E+3	0,000000E+0	0,000000E+0
231	830,000000E+0	1,454000E+3	0,000000E+0	0,000000E+0
232	829,000000E+0	1,455000E+3	0,000000E+0	0,000000E+0
