vendredi 13 décembre 2024	11:04:04	Sampling Period : 50  ms		Experiment

t	Alpha1L		Alpha2L		Alpha1R		Alpha2R		T_Alpha1L	T_Alpha2L	T_Alpha1R	T_Alpha2R
263	65,527000E+3	16,000000E+0	19,000000E+0	65,522000E+3
264	65,527000E+3	16,000000E+0	19,000000E+0	65,521000E+3
265	65,527000E+3	16,000000E+0	20,000000E+0	65,521000E+3
266	65,527000E+3	16,000000E+0	19,000000E+0	65,521000E+3
267	65,527000E+3	16,000000E+0	19,000000E+0	65,521000E+3
268	65,527000E+3	16,000000E+0	19,000000E+0	65,521000E+3
269	65,527000E+3	16,000000E+0	20,000000E+0	65,521000E+3
270	65,527000E+3	16,000000E+0	19,000000E+0	65,521000E+3
271	65,527000E+3	16,000000E+0	19,000000E+0	65,521000E+3
272	65,527000E+3	16,000000E+0	20,000000E+0	65,521000E+3
273	65,527000E+3	16,000000E+0	20,000000E+0	65,522000E+3
274	65,527000E+3	16,000000E+0	19,000000E+0	65,521000E+3
275	65,527000E+3	16,000000E+0	19,000000E+0	65,521000E+3
276	65,527000E+3	16,000000E+0	19,000000E+0	65,521000E+3
277	65,527000E+3	16,000000E+0	19,000000E+0	65,521000E+3
278	65,527000E+3	15,000000E+0	19,000000E+0	65,523000E+3
279	65,527000E+3	16,000000E+0	19,000000E+0	65,522000E+3
280	65,527000E+3	16,000000E+0	19,000000E+0	65,521000E+3
281	65,527000E+3	16,000000E+0	19,000000E+0	65,521000E+3
282	65,527000E+3	16,000000E+0	19,000000E+0	65,521000E+3
283	65,527000E+3	16,000000E+0	19,000000E+0	65,522000E+3
284	65,527000E+3	16,000000E+0	19,000000E+0	65,522000E+3
285	65,527000E+3	16,000000E+0	19,000000E+0	65,522000E+3
286	65,527000E+3	16,000000E+0	19,000000E+0	65,522000E+3
287	65,527000E+3	16,000000E+0	19,000000E+0	65,522000E+3
288	65,527000E+3	16,000000E+0	19,000000E+0	65,522000E+3
289	65,527000E+3	16,000000E+0	19,000000E+0	65,521000E+3
290	65,527000E+3	16,000000E+0	19,000000E+0	65,521000E+3
291	65,527000E+3	16,000000E+0	19,000000E+0	65,521000E+3
292	65,527000E+3	16,000000E+0	19,000000E+0	65,522000E+3
293	65,527000E+3	16,000000E+0	19,000000E+0	65,522000E+3
294	65,527000E+3	16,000000E+0	19,000000E+0	65,522000E+3
295	65,527000E+3	16,000000E+0	19,000000E+0	65,521000E+3
296	65,527000E+3	16,000000E+0	19,000000E+0	65,521000E+3
297	65,526000E+3	16,000000E+0	19,000000E+0	65,522000E+3
298	65,527000E+3	16,000000E+0	19,000000E+0	65,521000E+3
299	65,527000E+3	16,000000E+0	19,000000E+0	65,522000E+3
300	65,527000E+3	16,000000E+0	19,000000E+0	65,522000E+3
301	65,527000E+3	16,000000E+0	19,000000E+0	65,521000E+3
302	65,527000E+3	16,000000E+0	19,000000E+0	65,522000E+3
303	65,527000E+3	16,000000E+0	19,000000E+0	65,522000E+3
304	65,527000E+3	16,000000E+0	19,000000E+0	65,521000E+3
305	65,527000E+3	16,000000E+0	19,000000E+0	65,521000E+3
306	65,527000E+3	16,000000E+0	19,000000E+0	65,522000E+3
307	65,527000E+3	16,000000E+0	19,000000E+0	65,522000E+3
308	65,527000E+3	16,000000E+0	19,000000E+0	65,521000E+3
309	65,527000E+3	16,000000E+0	19,000000E+0	65,521000E+3
310	65,527000E+3	16,000000E+0	19,000000E+0	65,521000E+3
311	65,527000E+3	16,000000E+0	19,000000E+0	65,521000E+3
312	65,527000E+3	16,000000E+0	19,000000E+0	65,522000E+3
313	65,527000E+3	16,000000E+0	19,000000E+0	65,521000E+3
314	65,527000E+3	16,000000E+0	19,000000E+0	65,522000E+3
315	65,527000E+3	16,000000E+0	19,000000E+0	65,521000E+3
316	65,527000E+3	16,000000E+0	19,000000E+0	65,522000E+3
317	65,527000E+3	16,000000E+0	19,000000E+0	65,521000E+3
318	65,527000E+3	16,000000E+0	19,000000E+0	65,521000E+3
319	65,527000E+3	16,000000E+0	19,000000E+0	65,521000E+3
320	65,527000E+3	16,000000E+0	19,000000E+0	65,521000E+3
321	65,527000E+3	16,000000E+0	19,000000E+0	65,522000E+3
322	65,527000E+3	16,000000E+0	19,000000E+0	65,522000E+3
323	65,527000E+3	16,000000E+0	19,000000E+0	65,521000E+3
324	65,527000E+3	16,000000E+0	19,000000E+0	65,521000E+3
325	65,527000E+3	16,000000E+0	19,000000E+0	65,522000E+3
326	65,527000E+3	16,000000E+0	19,000000E+0	65,521000E+3
327	65,527000E+3	16,000000E+0	19,000000E+0	65,522000E+3
328	65,527000E+3	15,000000E+0	19,000000E+0	65,522000E+3
329	65,527000E+3	15,000000E+0	19,000000E+0	65,521000E+3
330	65,527000E+3	15,000000E+0	19,000000E+0	65,522000E+3
331	65,527000E+3	15,000000E+0	19,000000E+0	65,521000E+3
332	65,527000E+3	15,000000E+0	19,000000E+0	65,521000E+3
333	65,527000E+3	15,000000E+0	19,000000E+0	65,522000E+3
334	65,527000E+3	15,000000E+0	19,000000E+0	65,522000E+3
335	65,527000E+3	15,000000E+0	19,000000E+0	65,521000E+3
336	65,527000E+3	15,000000E+0	19,000000E+0	65,521000E+3
337	65,527000E+3	16,000000E+0	19,000000E+0	65,520000E+3
338	65,527000E+3	15,000000E+0	19,000000E+0	65,521000E+3
339	65,526000E+3	15,000000E+0	19,000000E+0	65,522000E+3
340	65,526000E+3	15,000000E+0	19,000000E+0	65,522000E+3
341	65,527000E+3	15,000000E+0	19,000000E+0	65,522000E+3
342	65,527000E+3	15,000000E+0	19,000000E+0	65,522000E+3
343	65,527000E+3	15,000000E+0	19,000000E+0	65,521000E+3
344	65,527000E+3	15,000000E+0	19,000000E+0	65,522000E+3
345	65,527000E+3	15,000000E+0	19,000000E+0	65,521000E+3
346	65,527000E+3	15,000000E+0	19,000000E+0	65,522000E+3
347	65,527000E+3	15,000000E+0	19,000000E+0	65,521000E+3
348	65,527000E+3	15,000000E+0	19,000000E+0	65,521000E+3
349	65,527000E+3	15,000000E+0	19,000000E+0	65,521000E+3
350	65,527000E+3	15,000000E+0	19,000000E+0	65,521000E+3
351	65,527000E+3	15,000000E+0	19,000000E+0	65,522000E+3
