jeudi 12 décembre 2024	17:09:28	Sampling Period : 50  ms		Experiment

t	Alpha1L		Alpha2L		Alpha1R		Alpha2R		T_Alpha1L	T_Alpha2L	T_Alpha1R	T_Alpha2R
153	1,176000E+3	676,000000E+0	0,000000E+0	0,000000E+0
154	1,177000E+3	675,000000E+0	0,000000E+0	0,000000E+0
155	1,178000E+3	673,000000E+0	0,000000E+0	0,000000E+0
156	1,179000E+3	672,000000E+0	0,000000E+0	0,000000E+0
157	1,179000E+3	669,000000E+0	0,000000E+0	0,000000E+0
158	1,180000E+3	668,000000E+0	0,000000E+0	0,000000E+0
159	1,181000E+3	667,000000E+0	0,000000E+0	0,000000E+0
160	1,181000E+3	664,000000E+0	0,000000E+0	0,000000E+0
161	1,182000E+3	663,000000E+0	0,000000E+0	0,000000E+0
162	1,183000E+3	662,000000E+0	0,000000E+0	0,000000E+0
163	1,183000E+3	660,000000E+0	0,000000E+0	0,000000E+0
164	1,184000E+3	658,000000E+0	0,000000E+0	0,000000E+0
165	1,185000E+3	657,000000E+0	0,000000E+0	0,000000E+0
166	1,186000E+3	656,000000E+0	0,000000E+0	0,000000E+0
167	1,187000E+3	654,000000E+0	0,000000E+0	0,000000E+0
168	1,187000E+3	653,000000E+0	0,000000E+0	0,000000E+0
169	1,188000E+3	651,000000E+0	0,000000E+0	0,000000E+0
170	1,189000E+3	650,000000E+0	0,000000E+0	0,000000E+0
171	1,189000E+3	649,000000E+0	0,000000E+0	0,000000E+0
172	1,189000E+3	647,000000E+0	0,000000E+0	0,000000E+0
173	1,190000E+3	647,000000E+0	0,000000E+0	0,000000E+0
174	1,191000E+3	645,000000E+0	0,000000E+0	0,000000E+0
175	1,191000E+3	644,000000E+0	0,000000E+0	0,000000E+0
176	1,192000E+3	642,000000E+0	0,000000E+0	0,000000E+0
177	1,192000E+3	641,000000E+0	0,000000E+0	0,000000E+0
178	1,193000E+3	640,000000E+0	0,000000E+0	0,000000E+0
179	1,194000E+3	639,000000E+0	0,000000E+0	0,000000E+0
180	1,194000E+3	637,000000E+0	0,000000E+0	0,000000E+0
181	1,195000E+3	636,000000E+0	0,000000E+0	0,000000E+0
182	1,196000E+3	635,000000E+0	0,000000E+0	0,000000E+0
183	1,196000E+3	633,000000E+0	0,000000E+0	0,000000E+0
184	1,196000E+3	633,000000E+0	0,000000E+0	0,000000E+0
185	1,197000E+3	631,000000E+0	0,000000E+0	0,000000E+0
186	1,197000E+3	630,000000E+0	0,000000E+0	0,000000E+0
187	1,198000E+3	628,000000E+0	0,000000E+0	0,000000E+0
188	1,198000E+3	628,000000E+0	0,000000E+0	0,000000E+0
189	1,199000E+3	626,000000E+0	0,000000E+0	0,000000E+0
190	1,200000E+3	626,000000E+0	0,000000E+0	0,000000E+0
191	1,200000E+3	625,000000E+0	0,000000E+0	0,000000E+0
192	1,200000E+3	624,000000E+0	0,000000E+0	0,000000E+0
193	1,201000E+3	622,000000E+0	0,000000E+0	0,000000E+0
194	1,201000E+3	621,000000E+0	0,000000E+0	0,000000E+0
195	1,202000E+3	620,000000E+0	0,000000E+0	0,000000E+0
196	1,202000E+3	619,000000E+0	0,000000E+0	0,000000E+0
197	1,203000E+3	618,000000E+0	0,000000E+0	0,000000E+0
198	1,203000E+3	617,000000E+0	0,000000E+0	0,000000E+0
199	1,204000E+3	616,000000E+0	0,000000E+0	0,000000E+0
200	1,204000E+3	615,000000E+0	0,000000E+0	0,000000E+0
